ocn1	canonical_name	wikipedia_name	person	people_raw	wikipedia_article	moves_san	moves_uci	source_tier	evidence_grade	already_attributed	citation
C.Fou.Spa.Rub	Four Knights Spanish, Rubinstein	Rubinstein Variation of the Four Knights Game	Akiba Rubinstein	Akiba Rubinstein	Akiba Rubinstein	1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Nd4	e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 c6d4	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Fre.Rub	French, Rubinstein	Rubinstein Variation of the French Defence	Akiba Rubinstein	Akiba Rubinstein	Akiba Rubinstein	1.e4 e6 2.d4 d5 3.Nc3 dxe4	e2e4 e7e6 d2d4 d7d5 b1c3 d5e4	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Nim.Rub	Nimzo, Rubinstein	Rubinstein Variation of the Nimzo-Indian Defence	Akiba Rubinstein	Akiba Rubinstein	Akiba Rubinstein	1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3	d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL	Ruy López	Ruy Lopez	Ruy López de Segura	Ruy López de Segura	Ruy López de Segura	1.e4 e5 2.Nf3 Nc6 3.Bb5	e2e4 e7e5 g1f3 b8c6 f1b5	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.KID.Sml	KID, Sämisch	Sämisch Variation of the King's Indian Defence	Friedrich Sämisch	Friedrich Sämisch	Friedrich Sämisch	1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f3	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3	web	attested		<ref name="Victor Bologan"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Nim.Sml	Nimzo, Sämisch	Sämisch Variation of the Nimzo-Indian Defence	Friedrich Sämisch	Friedrich Sämisch	Friedrich Sämisch	1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3	d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=e27|title=Nimzo-Indian, Samisch Variation (E27)|publisher=ChessGames.com|accessdate=2009-10-30}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Ret.Nf6.b4	Polish Opening, Zukertort System	Santasiere's Folly	Anthony Santasiere	Anthony Santasiere	Anthony Santasiere	1.Nf3 Nf6 2.b4	g1f3 g8f6 b2b4	book	attested		<ref>{{cite book|last=Santasiere|first=Anthony|title=Futuristic chess opening: Santasiere's folly, or, The opening with a future|publisher=Chess Digest|location=Dallas, Tex|year=1973}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Nf3.Scl	King's Gambit Accepted, Schallopp Defence	Schallopp Defense of the King's Gambit	Emil Schallopp	Emil Schallopp	Emil Schallopp	1.e4 e5 2.f4 exf4 3.Nf3 Nf6	e2e4 e7e5 f2f4 e5f4 g1f3 g8f6	oxford-companion	attested		<ref name="Oxford Companion"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Bir.Fro.fxe5.Nc6	From's Gambit, Schlechter Gambit	Schlechter Gambit of the Bird's Opening	Carl Schlechter	Carl Schlechter	Carl Schlechter	1.f4 e5 2.fxe5 Nc6	f2f4 e7e5 f4e5 b8c6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Tar.Rub	Tarrasch, Rubinstein System	Schlechter	Carl Schlechter; Akiba Rubinstein	Carl Schlechter and Akiba Rubinstein	Carl Schlechter; Akiba Rubinstein	1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nc6 6.g3	d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6 g2g3	web	attested		<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Fre.Nrm.d5.Bd3	French Defence, Schlechter Variation	Schlechter Variation of the French Defence	Carl Schlechter	Carl Schlechter	Carl Schlechter	1.e4 e6 2.d4 d5 3.Bd3	e2e4 e7e6 d2d4 d7d5 f1d3	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessgame?gid=1002548|title=Carl Schlechter vs. Géza Maróczy, French Defense: Schlechter Variation (C00)|publisher=ChessGames.com|accessdate=2009-10-30}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.Sla.Nf3.Nf6.Nc3.Sch	Slav Defence, Three Knights Prefix, Schlechter Variation	Schlechter Variation of the Slav Defence	Carl Schlechter	Carl Schlechter	Carl Schlechter	1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 g6	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 g7g6	web	attested		<ref name="Schlechter"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Shl	Ruy López, Schliemann Defence	[[Ruy lopez#Jaenisch Gambit|Schliemann	Carl Jaenisch	Carl Jaenisch and	Carl Jaenisch	1.e4 e5 2.Nf3 Nc6 3.Bb5 f5	e2e4 e7e5 g1f3 b8c6 f1b5 f7f5	oxford-companion	attested		<ref name="Oxford Companion"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.STa	Semi-Tarrasch	Semi-Tarrasch Defense of the Queen's Gambit Declined	Siegbert Tarrasch	Siegbert Tarrasch	Siegbert Tarrasch	1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c5	d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 c7c5	book	attested		<ref name="Colins 2005">{{cite book |last=Colins |first=Sam |year=2005 |title=Understanding the Chess Openings |publisher=Gambit Publications |isbn=1-904600-28-X}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.Sem.AMe.Shr	Semi-Slav Anti-Meran, Shirov-Shabalov	Shabalov	Alexander Shabalov; Alexei Shirov	Alexander Shabalov and Alexei Shirov	Alexander Shabalov; Alexei Shirov	1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 e6 5.e3 Nbd7 6.Qc2 Bd6 7.g4	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 e2e3 b8d7 d1c2 f8d6 g2g4	web	attested		<ref>{{cite web|url=http://www.chessbase.com/cbmnewsdetail.asp?newsid=5259|title=Shabalov-Shirov Gambit accepted|last=Krasenkow|first=Michal|date=2009-03-03|publisher=ChessBase|accessdate=2009-11-16|archive-date=2010-01-13|archive-url=https://web.archive.org/web/20100113172620/http://chessbase.com/c -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.CaK.Adv.Bf5.c3.e6.Be2	Caro-Kann Advance c3, Short Variation	Short Variation of the [[Caro	Nigel Short	Nigel Short	Nigel Short	1.e4 c6 2.d4 d5 3.e5 Bf5 4.c3 e6 5.Be2	e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 c2c3 e7e6 f1e2	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.SmM.Acc.Nxc3	Smith-Morra Accepted, Nxc3	[[Smith	Ken Smith	Texas master Ken Smith and Morra	Ken Smith (chess)	1.e4 c5 2.d4 cxd4 3.c3 dxc3 4.Nxc3	e2e4 c7c5 d2d4 c5d4 c2c3 d4c3 b1c3	book	attested		<ref>{{cite book|last=Burgess|first=Graham|title=Winning with the Smith-Morra Gambit|publisher=Batsford|year=1994|isbn=0-8050-3574-5}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Gru.Rus.Hng.e4.Bg4	Grünfeld Russian Hungarian, Bg4	Smyslov Variation of the Grünfeld Defence	Vasily Smyslov	Vasily Smyslov	Vasily Smyslov	1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qb3 dxc4 6.Qxc4 0-0 7.e4 Bg4	d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4 c8g4	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=D99|title=Grunfeld Defense, Smyslov (D99)|publisher=ChessGames.com|accessdate=2009-10-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Cls.Smy	Ruy López Closed, Smyslov Defence	Smyslov Variation of the Ruy Lopez	Vasily Smyslov	Vasily Smyslov	Vasily Smyslov	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Be7 6.Re1 b5 7.Bb3 d6 8.c3 0-0 9.h3 h6	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 h7h6	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=C93|title=Ruy Lopez, Closed, Smyslov Defense (C93)|publisher=ChessGames.com|accessdate=2009-10-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Cze	Sicilian, Czerniak Attack	Snyder Variation of the Sicilian Defence	Robert Snyder	Robert Snyder		1.e4 c5 2.b3	e2e4 c7c5 b2b3	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Sicilian-Defense-Snyder-Variation|title=Sicilian Defense: Snyder Variation (B20)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Pol	Polish Opening	Sokolsky Opening	Alexey Sokolsky	Alexey Sokolsky	Alexey Sokolsky	1.b4	b2b4	oxford-companion	attested		<ref name="Oxford Companion"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Dec.Cls.fxe5	King's Gambit Declined Classical, Soldatenkov	Soldatenkov Variation of the King's Gambit	Vasily Soldatenkov	Vasily Soldatenkov	Vasily Soldatenkov	1.e4 e5 2.f4 Bc5 3.Nf3 d6 4.fxe5	e2e4 e7e5 f2f4 f8c5 g1f3 d7d6 f4e5	oxford-companion	attested		{{sfn|Hooper|Whyld|1992|p=476}} -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.Sla.Sou	Slav, Soultanbeieff Variation	Soultanbeieff Variation of Slav Defence	Victor Soultanbeieff	Victor Soultanbeieff	Victor Soultanbeieff	1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 e6	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 e7e6	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessgame?gid=1281050|title=Isaac Kashdan vs. Victor Soultanbeieff, Olympiad 1933, Slav Defense: Soultanbeieff Variation |publisher=ChessGames.com|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.CaK.Nc3.Gld	Caro-Kann 2.Nc3, Goldman Variation	Spielmann Variation of the [[Caro	Rudolph Spielmann	Rudolph Spielmann	Rudolph Spielmann	1.e4 c6 2.Nc3 d5 3.Qf3	e2e4 c7c6 b1c3 d7d5 d1f3	web	attested		<ref>{{cite web|url=http://www.fqechecs.qc.ca/index.php?typ=actu&categorie=1&id=254|title=ECO B00-B49 (anglais)|publisher=Fédération québécoise des échecs|accessdate=2009-10-30}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Sta	King's Gambit Accepted, Stamma Gambit	Stamma Gambit of the King's Gambit	Philipp Stamma	Philipp Stamma	Philipp Stamma	1.e4 e5 2.f4 exf4 3.h4	e2e4 e7e5 f2f4 e5f4 h2h4	web	attested		<ref>{{cite web|url=http://www.365chess.com/opening.php?m=6&n=33596&ms=e4.e5.f4.exf4.h4|title=King's Gambit Accepted, Pawn's gambit (Stamma gambit)|publisher=365Chess.com|accessdate=2009-10-30}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Hol.Sta	Dutch Defence, Staunton Gambit	Staunton Gambit of the Dutch Defence	Howard Staunton	Howard Staunton	Howard Staunton	1.d4 f5 2.e4	d2d4 f7f5 e2e4	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Fre.e5	French Defence, Steinitz Attack	Steinitz Attack of the French Defence	Wilhelm Steinitz	Wilhelm Steinitz	Wilhelm Steinitz	1.e4 e6 2.e5	e2e4 e7e6 e4e5	web	attested		<ref>{{cite web|url=https://www.365chess.com/eco/C00_French_Steinitz_attack|title=C00: French, Steinitz Attack|publisher=365Chess.com|accessdate=2023-01-06}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Stn	Ruy López, Steinitz Defence	Steinitz Defense of the Ruy Lopez	Wilhelm Steinitz	Wilhelm Steinitz	Wilhelm Steinitz	1.e4 e5 2.Nf3 Nc6 3.Bb5 d6	e2e4 e7e5 g1f3 b8c6 f1b5 d7d6	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=C62|title=Ruy Lopez, Old Steinitz Defense (C62)|publisher=ChessGames.com|accessdate=2009-10-30}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Vie.Nc6.f4	Vienna Gambit, Max Lange Defence	Steinitz Gambit of the Vienna Game	Wilhelm Steinitz	Wilhelm Steinitz	Wilhelm Steinitz	1.e4 e5 2.Nc3 Nc6 3.f4	e2e4 e7e5 b1c3 b8c6 f2f4	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Pet.Mod	Petrov, Modern Attack	Steinitz Variation of the Petrov Defense	Wilhelm Steinitz	Wilhelm Steinitz	Wilhelm Steinitz	1.e4 e5 2.Nf3 Nf6 3.d4	e2e4 e7e5 g1f3 g8f6 d2d4	web	attested		<ref>{{cite web|url=http://www.365chess.com/opening.php?m=6&n=765&ms=e4.e5.Nf3.Nf6.d4|title=Petrov, modern (Steinitz) attack|publisher=365Chess.com|accessdate=2009-10-30}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.LDu	Sicilian, Lasker-Dunne Attack	Steinitz Variation of the Sicilian Defence	Wilhelm Steinitz	Wilhelm Steinitz	Wilhelm Steinitz	1.e4 c5 2.g3	e2e4 c7c5 g2g3	web	attested		<ref>{{cite web|url=http://www.365chess.com/opening.php?m=4&n=120&ms=e4.c5.g3|title=B20: Sicilian, Steinitz variation|publisher=365Chess.com|accessdate=2009-10-30}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Sve	Sicilian Sveshnikov	Sveshnikov Variation of the Sicilian Defence	Evgeny Sveshnikov	Evgeny Sveshnikov	Evgeny Sveshnikov	1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5	e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5	book	attested	yes	<ref>{{cite book|last=Aagaard|first=Jacob|title=Easy Guide to the Sveshnikov Sicilian|publisher=Everyman Chess|year=2000|isbn=978-1-85744-280-9}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Tay.Nb5	Sicilian Taimanov, Szén Variation	Szén Variation of the Sicilian Defence	József Szén	József Szén	József Szén	1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nb5	e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 d4b5	oxford-companion	attested		<ref>{{cite book |last1=Hooper |first1=David |authorlink1=David Vincent Hooper |last2=Whyld |first2=Kenneth |authorlink2=Kenneth Whyld |title=The Oxford Companion to Chess |publisher=[[Oxford University Press]] |year=1987 |contribution=Szén Variation |page=339 |isbn=0-19-281986-0|title-link=The Oxfo -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Tay	Sicilian Taimanov	Taimanov Variation of the Sicilian Defence	Mark Taimanov	Mark Taimanov	Mark Taimanov	1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6	e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=B47|title=Sicilian, Taimanov (Bastrikov) Variation (B47)|publisher=ChessGames.com|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.McD.Tal	Sicilian McDonnell Attack, Tal Gambit	Tal Gambit of the Sicilian Defence	Mikhail Tal	Mikhail Tal	Mikhail Tal	1.e4 c5 2.f4 d5 3.exd5 Nf6	e2e4 c7c5 f2f4 d7d5 e4d5 g8f6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.CaK.Adv.Tal	Caro-Kann Advance, Tal	Tal Variation of the [[Caro	Mikhail Tal	Mikhail Tal	Mikhail Tal	1.e4 c6 2.d4 d5 3.e5 Bf5 4.h4	e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 h2h4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.Tar	Tarrasch Defence	Tarrasch Defense	Siegbert Tarrasch	Siegbert Tarrasch	Siegbert Tarrasch	1.d4 d5 2.c4 e6 3.Nc3 c5	d2d4 d7d5 c2c4 e7e6 b1c3 c7c5	book	attested	yes	<ref>{{cite book|last=de Firmian|first=Nick|title=Modern Chess Openings|publisher=McKay|edition=15|isbn=978-0-8129-3682-7|year=2008}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Fre.Tar	French, Tarrasch	Tarrasch Variation of the French Defence	Siegbert Tarrasch	Siegbert Tarrasch	Siegbert Tarrasch	1.e4 e6 2.d4 d5 3.Nd2	e2e4 e7e6 d2d4 d7d5 b1d2	book	attested		<ref>{{cite book|last=Raymond|first=Keene|title=French Defence: Tarrasch Variation|publisher=Batsford|year=1984|isbn=978-0-7134-4577-0}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Tor	Torre Attack	Torre Attack	Carlos Torre	Carlos Torre	Carlos Torre	1.d4 Nf6 2.Nf3 e6 3.Bg5	d2d4 g8f6 g1f3 e7e6 c1g5	book	attested		<ref>{{cite book|last=Gufeld|first=Eduard|author2=Stetsko, Oleg|title=Winning With the Torre Attack|publisher=Henry Holt|year=1994|isbn=0-8050-3280-0|url-access=registration|url=https://archive.org/details/winningwithtorre00gufe_0}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Ita.Two.Ng5.Trx	Two Knights, Traxler Counterattack	Traxler Variation of the Two Knights Defence	Karel Traxler	Karel Traxler	Karel Traxler	1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 Bc5	e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 f8c5	web	attested		<ref>{{cite web|url=http://www.chessbase.com/newsdetail.asp?newsid=1710|title=The Traxler Counter Attack|date=2004-06-13|publisher=ChessBase|accessdate=2009-10-30}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Tro	Trompowsky Attack	Trompowsky Attack	Octavio Trompowsky	Octavio Trompowsky	Octavio Trompowsky	1.d4 Nf6 2.Bg5	d2d4 g8f6 c1g5	encyclopaedia	attested	yes	<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Pir	Pirc Defence	Ufimtsev Defence	Anatoly Ufimtsev	Anatoly Ufimtsev	Anatoly Ufimtsev (chess player)	1.e4 d6 2.d4 Nf6 3.Nc3 g6	e2e4 d7d6 d2d4 g8f6 b1c3 g7g6	web	attested		<ref>{{cite web|url=http://www.365chess.com/opening.php?m=7&n=167&ms=e4.d6.d4.Nf6.Nc3.c6|title=B07: Pirc, Ufimtsev-Pytel variation|publisher=365Chess.com|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.Bsh.Urs	Bishop's Opening, Urusov Gambit	Urusov Gambit	Sergey Urusov	the Russian Prince Sergey Urusov	Sergey Semyonovich Urusov	1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3	e2e4 e7e5 f1c4 g8f6 d2d4 e5d4 g1f3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.VtK	Van't Kruijs Opening	Van 't Kruijs Opening	Maarten van 't Kruijs	Maarten van 't Kruijs	Maarten van 't Kruijs	1.e3	e2e3	encyclopaedia	attested		<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.Vil	King's Gambit Accepted, Villemson Gambit	Villemson Gambit of the King's Gambit	Martin Villemson	Martin Villemson	Martin Villemson	1.e4 e5 2.f4 exf4 3.d4	e2e4 e7e5 f2f4 e5f4 d2d4	oxford-companion	attested		{{sfn|Hooper|Whyld|1992|p=477}} -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Vin	Ruy López, Vinogradov Variation	Vinogradov Variation of the Ruy Lopez	Paul Vinogradov	Paul Vinogradov	Paul Vinogradov	1.e4 e5 2.Nf3 Nc6 3.Bb5 Qe7	e2e4 e7e5 g1f3 b8c6 f1b5 d8e7	web	attested		<ref>{{cite web|url=http://www.365chess.com/opening.php?m=7&n=23417&ms=e4.e5.Nf3.Nc6.Bb5.Qe7|title=C60: Ruy Lopez, Vinogradov variation|publisher=365Chess.com|accessdate=2009-10-29}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.OID.Wad	Old Indian, Wade Defence	Wade Defence	Robert Wade	Robert Wade	Robert Wade (chess player)	1.d4 d6 2.Nf3 Bg4	d2d4 d7d6 g1f3 c8g4	book	attested		<ref>{{cite book |author1=Jouni Yrjölä |author2=Jussi Tella |name-list-style=amp| year=2001 | title=An Explosive Chess Opening Repertoire for Black | publisher=Gambit Publications Ltd | isbn=1-901983-50-1 }}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.War	Ware Defence	Ware Defense	Preston Ware	Preston Ware	Preston Ware	1.e4 a5	e2e4 a7a5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.War	Ware Opening	Ware Opening	Preston Ware	Preston Ware	Preston Ware	1.a4	a2a4	oxford-companion	attested		<ref name="Oxford Companion"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Fre.Win	French, Winawer	Winawer Variation of the French Defence	Simon Winawer	Simon Winawer	Simon Winawer	1.e4 e6 2.d4 d5 3.Nc3 Bb4	e2e4 e7e6 d2d4 d7d5 b1c3 f8b4	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=c18|title=French, Winawer (C18)|publisher=ChessGames.com|accessdate=2009-10-28}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Mor.Wor	Ruy López Morphy, Wormald Attack	Worrall Attack of the Ruy Lopez	Thomas Herbert Worrall	Thomas Herbert Worrall		1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.Qe2	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d1e2	book	attested		<ref>{{cite book|last=Marin|first=Mihail|title=A Spanish Repertoire for Black|publisher=[[Quality Chess]]|year=2007|isbn=978-91-976005-0-7}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Gru.h4	Grünfeld Defence, Zaitsev Gambit	Zaitsev Gambit of the Grünfeld Defence	Alexander Zaitsev	Alexander Zaitsev	Alexander Nikolayevich Zaitsev	1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.h4	d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 h2h4	web	attested		<ref>{{cite web|url=http://studimonetari.org/edg/|title=Scacchi: Enciclopedia pratica dei Gambetti|last=Saba|first=Marco|publisher=Studimonetari.org|accessdate=2009-10-28|archive-url=https://web.archive.org/web/20210218014244/http://studimonetari.org/edg|archive-date=2021-02-18}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.RyL.Cls.c3.O-O.h3.Bb7	Ruy López Closed h3, Bb7	Zaitsev Variation of the Ruy Lopez	Igor Zaitsev	Igor Zaitsev	Igor Zaitsev	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Be7 6.Re1 b5 7.Bb3 d6 8.c3 0-0 9.h3 Bb7	e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c8b7	oxford-companion	attested		<ref name="Oxford Companion"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Egl.dxe5.Nc6.Nf3.Nge7	Englund Gambit Nf3, Zilbermints Gambit	Zilbermints Gambit of the Englund Gambit	Lev Zilbermints	Lev Zilbermints		1.d4 e5 2.dxe5 Nc6 3.Nf3 Nge7	d2d4 e7e5 d4e5 b8c6 g1f3 g8e7	web	attested		<ref>Kaissiber 5, p. 35</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Ret	Réti Opening	Zukertort Opening	Johannes Zukertort	Johannes Zukertort	Johannes Zukertort	1.Nf3	g1f3	web	attested	yes	<ref name="Gordon 1994"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Kro	Sicilian, Kronberger Variation	Zvjaginsev Variation of the Sicilian Defence	Vadim Zvjaginsev	Vadim Zvjaginsev	Vadim Zvjaginsev	1.e4 c5 2.Na3	e2e4 c7c5 b1a3	web	attested		<ref>{{cite web|url=http://www.newinchess.com/Yearbook_78-p-184.html|title=Yearbook 78 – Products|publisher=New In Chess|accessdate=2009-10-26}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
